Time	x	p
0	0.284236	0.112602
1.00004	0.285986	0.00404844
2.00008	0.284479	-0.0545085
3.00012	0.282716	-0.0630165
4.00016	0.280698	-0.0714677
5.0002	0.278428	-0.129855
6.00024	0.272907	-0.238125
7.00028	0.26414	-0.34618
8.00032	0.252136	-0.453924
9.00036	0.236905	-0.56126
10.0004	0.218461	-0.668091
11.0004	0.196819	-0.77432
12.0005	0.172001	-0.879852
13.0005	0.144028	-0.984593
14.0006	0.112926	-1.08845
15.0006	0.0787216	-1.19132
16.0006	0.0414465	-1.29312
17.0007	0.00113412	-1.39376
18.0007	-0.0421793	-1.49315
19.0008	-0.0884547	-1.59119
20.0008	-0.137651	-1.6878
21.0008	-0.189722	-1.78289
22.0009	-0.244624	-1.87637
23.0009	-0.302305	-1.96817
24.001	-0.362714	-2.05819
25.001	-0.425796	-2.14636
26.001	-0.491495	-2.2326
27.0011	-0.559752	-2.31684
28.0011	-0.630506	-2.39898
29.0012	-0.703691	-2.47897
30.0012	-0.779244	-2.55672
31.0012	-0.857095	-2.63218
32.0013	-0.937174	-2.70527
33.0013	-1.01941	-2.77592
34.0014	-1.10373	-2.84407
35.0014	-1.19005	-2.90966
36.0014	-1.27831	-2.97264
37.0015	-1.36841	-3.03294
38.0015	-1.46029	-3.09051
39.0016	-1.55384	-3.14529
40.0016	-1.649	-3.19725
41.0016	-1.74568	-3.24633
42.0017	-1.84378	-3.29249
43.0017	-1.94323	-3.33568
44.0018	-2.04392	-3.37588
45.0018	-2.14578	-3.41303
46.0018	-2.24871	-3.44711
47.0019	-2.35261	-3.47809
48.0019	-2.45739	-3.50594
49.002	-2.56296	-3.53064
50.002	-2.66923	-3.55216
51.002	-2.77609	-3.57048
52.0021	-2.88346	-3.58558
53.0021	-2.99123	-3.59746
54.0022	-3.09931	-3.6061
55.0022	-3.20759	-3.6115
56.0022	-3.316	-3.61365
57.0023	-3.42441	-3.61254
58.0023	-3.53275	-3.60818
59.0024	-3.6409	-3.60058
60.0024	-3.74878	-3.58973
61.0024	-3.85629	-3.57566
62.0025	-3.96332	-3.55836
63.0025	-4.06979	-3.53787
64.0026	-4.17559	-3.51419
65.0026	-4.28064	-3.48734
66.0026	-4.38484	-3.45736
67.0027	-4.48808	-3.42427
68.0027	-4.59029	-3.38809
69.0028	-4.69137	-3.34887
70.0028	-4.79122	-3.30663
71.0028	-4.88977	-3.26141
72.0029	-4.98691	-3.21326
73.0029	-5.08256	-3.16222
74.003	-5.17664	-3.10833
75.003	-5.26906	-3.05165
76.003	-5.35974	-2.99221
77.0031	-5.44859	-2.93009
78.0031	-5.53555	-2.86533
79.0032	-5.62051	-2.79799
80.0032	-5.70342	-2.72813
81.0032	-5.7842	-2.65581
82.0033	-5.86277	-2.58111
83.0033	-5.93907	-2.50408
84.0034	-6.01302	-2.4248
85.0034	-6.08456	-2.34334
86.0034	-6.15362	-2.25976
87.0035	-6.22014	-2.17416
88.0035	-6.28407	-2.08659
89.0036	-6.34534	-1.99715
90.0036	-6.4039	-1.90591
91.0036	-6.45969	-1.81296
92.0037	-6.51267	-1.71837
93.0037	-6.56279	-1.62224
94.0038	-6.61001	-1.52465
95.0038	-6.65427	-1.42569
96.0038	-6.69555	-1.32544
97.0039	-6.7338	-1.224
98.0039	-6.76899	-1.12146
99.004	-6.80109	-1.01791
100.004	-6.83006	-0.913438
101.004	-6.85589	-0.808149
102.004	-6.87855	-0.702132
103.004	-6.89802	-0.595484
104.004	-6.91428	-0.488299
105.004	-6.92732	-0.380675
106.004	-6.93712	-0.272708
107.004	-6.94368	-0.164496
108.004	-6.94699	-0.0561362
109.004	-6.94705	0.0522744
110.004	-6.94386	0.160638
111.004	-6.93741	0.268857
112.004	-6.92772	0.376834
113.005	-6.9148	0.484472
114.005	-6.89866	0.591674
115.005	-6.8793	0.698343
116.005	-6.85676	0.804384
117.005	-6.83104	0.909701
118.005	-6.80217	1.0142
119.005	-6.77019	1.11778
120.005	-6.73511	1.22036
