Time	x	p
0	1.16528	0.727647
1.00004	1.18508	0.592391
2.00008	1.20082	0.456602
3.00012	1.21248	0.320403
4.00016	1.22005	0.183915
5.0002	1.22352	0.0472616
6.00024	1.22288	-0.0894344
7.00028	1.21815	-0.22605
8.00032	1.20932	-0.362462
9.00036	1.1964	-0.498548
10.0004	1.17941	-0.634185
11.0004	1.15835	-0.769251
12.0005	1.13325	-0.903625
13.0005	1.10413	-1.03719
14.0006	1.07102	-1.16981
15.0006	1.03394	-1.30139
16.0006	0.992938	-1.43179
17.0007	0.948037	-1.56091
18.0007	0.899283	-1.68862
19.0008	0.84672	-1.81481
20.0008	0.790395	-1.93936
21.0008	0.730358	-2.06217
22.0009	0.666664	-2.18313
23.0009	0.599371	-2.30212
24.001	0.528537	-2.36904
25.001	0.457228	-2.38382
26.001	0.385508	-2.39647
27.0011	0.31344	-2.40695
28.0011	0.241091	-2.41527
29.0012	0.168524	-2.42141
30.0012	0.0958061	-2.42538
31.0012	0.0230017	-2.42716
32.0013	-0.0498235	-2.42676
33.0013	-0.122604	-2.42417
34.0014	-0.195274	-2.4194
35.0014	-0.267768	-2.41246
36.0014	-0.340021	-2.40334
37.0015	-0.411968	-2.39206
38.0015	-0.483545	-2.37863
39.0016	-0.554686	-2.36305
40.0016	-0.625328	-2.34535
41.0016	-0.695407	-2.32554
42.0017	-0.76486	-2.30364
43.0017	-0.833625	-2.27966
44.0018	-0.90164	-2.25363
45.0018	-0.968843	-2.22558
46.0018	-1.03517	-2.19551
47.0019	-1.10057	-2.16348
48.0019	-1.16498	-2.1295
49.002	-1.22834	-2.0936
50.002	-1.2906	-2.05581
51.002	-1.35169	-2.01618
52.0021	-1.41157	-1.97473
53.0021	-1.47018	-1.9315
54.0022	-1.52746	-1.88654
55.0022	-1.58337	-1.83987
56.0022	-1.63785	-1.79156
57.0023	-1.69086	-1.74163
58.0023	-1.74235	-1.69013
59.0024	-1.79227	-1.63711
60.0024	-1.84058	-1.58262
61.0024	-1.88723	-1.5267
62.0025	-1.93218	-1.46941
63.0025	-1.97539	-1.41079
64.0026	-2.01683	-1.35091
65.0026	-2.05645	-1.28981
66.0026	-2.09421	-1.22755
67.0027	-2.1301	-1.16419
68.0027	-2.16407	-1.09977
69.0028	-2.19609	-1.03437
70.0028	-2.22613	-0.968039
71.0028	-2.25417	-0.900835
72.0029	-2.28018	-0.832819
73.0029	-2.30414	-0.764055
74.003	-2.32602	-0.694602
75.003	-2.34581	-0.624525
76.003	-2.36349	-0.553885
77.0031	-2.37905	-0.482747
78.0031	-2.39246	-0.411175
79.0032	-2.40372	-0.339232
80.0032	-2.41281	-0.266984
81.0032	-2.41974	-0.194496
82.0033	-2.42448	-0.121833
83.0033	-2.42705	-0.0490597
84.0034	-2.42742	0.0237574
85.0034	-2.42562	0.0965531
86.0034	-2.42163	0.169262
87.0035	-2.41546	0.241818
88.0035	-2.40712	0.314157
89.0036	-2.39661	0.386213
90.0036	-2.38395	0.457922
91.0036	-2.36914	0.529218
92.0037	-2.3522	0.600038
93.0037	-2.33314	0.670318
94.0038	-2.31198	0.739995
95.0038	-2.28874	0.809005
96.0038	-2.26344	0.877288
97.0039	-2.2361	0.944781
98.0039	-2.20675	1.01142
99.004	-2.17541	1.07716
100.004	-2.14212	1.14192
101.004	-2.1069	1.20565
102.004	-2.06978	1.2683
103.004	-2.0308	1.32981
104.004	-1.98999	1.39013
105.004	-1.94739	1.44919
106.004	-1.90304	1.50694
107.004	-1.85698	1.56334
108.004	-1.80924	1.61834
109.004	-1.75988	1.67187
110.004	-1.70893	1.72391
111.004	-1.65644	1.77439
112.004	-1.60247	1.82327
113.005	-1.54705	1.87051
114.005	-1.49023	1.91607
115.005	-1.43208	1.95991
116.005	-1.37264	2.00198
117.005	-1.31196	2.04225
118.005	-1.25011	2.08068
119.005	-1.18712	2.11724
120.005	-1.12307	2.15189
121.005	-1.05801	2.1846
122.005	-0.991995	2.21535
