Time	x	p
173.007	-1.46055	2.22534
174.007	-1.39464	2.16817
175.007	-1.33047	2.10904
176.007	-1.2681	2.04802
177.007	-1.20758	1.98516
178.007	-1.14899	1.9205
179.007	-1.09235	1.85412
180.007	-1.03774	1.78608
181.007	-0.985189	1.71642
182.007	-0.934753	1.64522
183.007	-0.886476	1.57254
184.007	-0.840401	1.49844
185.007	-0.79657	1.42299
186.007	-0.755021	1.34627
187.007	-0.715793	1.26833
188.008	-0.678921	1.18925
189.008	-0.644438	1.1091
190.008	-0.612375	1.02795
191.008	-0.582761	0.945881
192.008	-0.555623	0.862957
193.008	-0.530984	0.779256
194.008	-0.508867	0.694854
195.008	-0.489293	0.609826
196.008	-0.472278	0.52425
197.008	-0.457838	0.438201
198.008	-0.445986	0.351759
199.008	-0.436732	0.264999
200.008	-0.430086	0.178002
201.008	-0.426052	0.0908437
202.008	-0.424635	0.00360403
203.008	-0.425836	-0.0836389
204.008	-0.429653	-0.170807
205.008	-0.436084	-0.257821
206.008	-0.445122	-0.344602
207.008	-0.45676	-0.431074
208.008	-0.470987	-0.517158
209.008	-0.48779	-0.602776
210.008	-0.507154	-0.687852
211.008	-0.529061	-0.772309
212.008	-0.553492	-0.856071
213.009	-0.580425	-0.939062
214.009	-0.609836	-1.02121
215.009	-0.641698	-1.10243
216.009	-0.675982	-1.18267
217.009	-0.712658	-1.26184
218.009	-0.751692	-1.33987
219.009	-0.79305	-1.4167
220.009	-0.836695	-1.49226
221.009	-0.882586	-1.56647
222.009	-0.930683	-1.63927
223.009	-0.980942	-1.7106
224.009	-1.03332	-1.78038
225.009	-1.08776	-1.84856
226.009	-1.14423	-1.91508
227.009	-1.20267	-1.97988
228.009	-1.26303	-2.0429
229.009	-1.32524	-2.10407
230.009	-1.38927	-2.16335
231.009	-1.45504	-2.22069
232.009	-1.52251	-2.27603
233.009	-1.59161	-2.32931
234.009	-1.66227	-2.38051
235.009	-1.73444	-2.42956
236.009	-1.80804	-2.47642
237.009	-1.88302	-2.52105
238.01	-1.95931	-2.56342
239.01	-2.03683	-2.60348
240.01	-2.11551	-2.64119
241.01	-2.1953	-2.67653
242.01	-2.27611	-2.70946
243.01	-2.35787	-2.73995
244.01	-2.4405	-2.76797
245.01	-2.52394	-2.79351
246.01	-2.60811	-2.81652
247.01	-2.69294	-2.83701
248.01	-2.77833	-2.85494
249.01	-2.86423	-2.8703
250.01	-2.95055	-2.88308
251.01	-3.03722	-2.89326
252.01	-3.12415	-2.90084
253.01	-3.21127	-2.90581
254.01	-3.2985	-2.90816
255.01	-3.38576	-2.9079
256.01	-3.47297	-2.90502
257.01	-3.56006	-2.89952
258.01	-3.64694	-2.89142
259.01	-3.73354	-2.88071
260.01	-3.81978	-2.86741
261.01	-3.90559	-2.85153
262.01	-3.99088	-2.83308
263.011	-4.07557	-2.81209
264.011	-4.1596	-2.78856
265.011	-4.24289	-2.76252
266.011	-4.32535	-2.734
267.011	-4.40693	-2.70302
268.011	-4.48753	-2.6696
269.011	-4.5671	-2.63378
270.011	-4.64556	-2.59559
271.011	-4.72284	-2.55506
272.011	-4.79886	-2.51224
273.011	-4.87357	-2.46715
274.011	-4.94689	-2.41984
275.011	-5.01876	-2.37036
276.011	-5.08912	-2.31874
277.011	-5.15789	-2.26504
278.011	-5.22502	-2.20929
279.011	-5.29045	-2.15156
280.011	-5.35411	-2.09189
281.011	-5.41596	-2.03034
282.011	-5.47593	-1.96696
283.011	-5.53398	-1.90181
284.011	-5.59004	-1.83495
285.011	-5.64407	-1.76644
286.011	-5.69603	-1.69634
287.011	-5.74585	-1.62471
288.012	-5.79351	-1.55162
289.012	-5.83895	-1.47713
290.012	-5.88214	-1.40132
291.012	-5.92303	-1.32424
292.012	-5.96159	-1.24597
293.012	-5.99779	-1.16658
294.012	-6.03159	-1.08614
295.012	-6.06296	-1.00472
296.012	-6.09187	-0.9224
297.012	-6.1183	-0.839247
298.012	-6.14223	-0.755339
299.012	-6.16362	-0.670751
300.012	-6.18247	-0.58556
301.012	-6.19876	-0.499842
302.012	-6.21246	-0.413673
303.012	-6.22358	-0.327133
304.012	-6.23209	-0.240298
305.012	-6.23799	-0.153247
306.012	-6.24128	-0.0660575
307.012	-6.24196	0.0211911
308.012	-6.24001	0.108421
309.012	-6.23545	0.195553
310.012	-6.22828	0.282509
311.012	-6.2185	0.36921
312.012	-6.20613	0.45558
313.013	-6.19117	0.541539
314.013	-6.17363	0.627011
315.013	-6.15355	0.711919
316.013	-6.13092	0.796186
317.013	-6.10577	0.879736
318.013	-6.07813	0.962495
319.013	-6.04802	1.04439
320.013	-6.01547	1.12534
321.013	-5.9805	1.20528
322.013	-5.94315	1.28413
323.013	-5.90346	1.36183
324.013	-5.86144	1.43831
325.013	-5.81716	1.51349
326.013	-5.77064	1.5873
327.013	-5.72192	1.65969
