Time	x	p
0	0.171291	0.284483
1.00004	0.178249	0.17924
2.00008	0.182046	0.0738352
3.00012	0.182679	-0.0316357
4.00016	0.180148	-0.137078
5.0002	0.174454	-0.242397
6.00024	0.165604	-0.347498
7.00028	0.153604	-0.452286
8.00032	0.138467	-0.556667
9.00036	0.120204	-0.660547
10.0004	0.0988339	-0.763833
11.0004	0.0743744	-0.866431
12.0005	0.046848	-0.968249
13.0005	0.0162795	-1.0692
14.0006	-0.0173037	-1.16918
15.0006	-0.0538714	-1.26811
16.0006	-0.0933905	-1.3659
17.0007	-0.135826	-1.46247
18.0007	-0.181138	-1.55771
19.0008	-0.229288	-1.65156
20.0008	-0.280232	-1.74391
21.0008	-0.333923	-1.8347
22.0009	-0.390314	-1.92384
23.0009	-0.449353	-2.01124
24.001	-0.510988	-2.09684
25.001	-0.575163	-2.18054
26.001	-0.641821	-2.26229
27.0011	-0.710901	-2.342
28.0011	-0.782341	-2.4196
29.0012	-0.856077	-2.49502
30.0012	-0.932042	-2.5682
31.0012	-1.01017	-2.63907
32.0013	-1.09039	-2.70756
33.0013	-1.17262	-2.77362
34.0014	-1.2568	-2.83717
35.0014	-1.34285	-2.89818
36.0014	-1.43069	-2.95658
37.0015	-1.52025	-3.01231
38.0015	-1.61143	-3.06534
39.0016	-1.70417	-3.1156
40.0016	-1.79837	-3.16306
41.0016	-1.89395	-3.20768
42.0017	-1.99083	-3.24941
43.0017	-2.08892	-3.28821
44.0018	-2.18812	-3.32406
45.0018	-2.28836	-3.35691
46.0018	-2.38954	-3.38674
47.0019	-2.49156	-3.41352
48.0019	-2.59435	-3.43724
49.002	-2.6978	-3.45785
50.002	-2.80182	-3.47536
51.002	-2.90632	-3.48974
52.0021	-3.0112	-3.50097
53.0021	-3.11638	-3.50906
54.0022	-3.22175	-3.51399
55.0022	-3.32722	-3.51575
56.0022	-3.43269	-3.51436
57.0023	-3.53808	-3.50979
58.0023	-3.64328	-3.50207
59.0024	-3.7482	-3.4912
60.0024	-3.85275	-3.47719
61.0024	-3.95683	-3.46004
62.0025	-4.06035	-3.43978
63.0025	-4.16322	-3.41643
64.0026	-4.26534	-3.39
65.0026	-4.36662	-3.36052
66.0026	-4.46697	-3.32802
67.0027	-4.5663	-3.29252
68.0027	-4.66452	-3.25406
69.0028	-4.76155	-3.21267
70.0028	-4.85728	-3.16838
71.0028	-4.95165	-3.12125
72.0029	-5.04456	-3.07131
73.0029	-5.13593	-3.0186
74.003	-5.22567	-2.96318
75.003	-5.31372	-2.90509
76.003	-5.39998	-2.84438
77.0031	-5.48438	-2.78111
78.0031	-5.56685	-2.71535
79.0032	-5.6473	-2.64713
80.0032	-5.72567	-2.57654
81.0032	-5.80189	-2.50363
82.0033	-5.87589	-2.42846
83.0033	-5.9476	-2.35111
84.0034	-6.01696	-2.27164
85.0034	-6.0839	-2.19013
86.0034	-6.14837	-2.10664
87.0035	-6.2103	-2.02126
88.0035	-6.26964	-1.93406
89.0036	-6.32634	-1.84512
90.0036	-6.38035	-1.75452
91.0036	-6.43161	-1.66234
92.0037	-6.48009	-1.56867
93.0037	-6.52573	-1.47358
94.0038	-6.5685	-1.37717
95.0038	-6.60836	-1.27951
96.0038	-6.64527	-1.18071
97.0039	-6.67921	-1.08084
98.0039	-6.71013	-0.980001
99.004	-6.73801	-0.878279
100.004	-6.76282	-0.775767
101.004	-6.78455	-0.672556
102.004	-6.80318	-0.56874
103.004	-6.81868	-0.464413
104.004	-6.83104	-0.359667
105.004	-6.84026	-0.254597
106.004	-6.84632	-0.149299
107.004	-6.84921	-0.0438659
108.004	-6.84895	0.0616065
109.004	-6.84552	0.167024
110.004	-6.83893	0.27229
111.004	-6.82918	0.377312
112.004	-6.81629	0.481994
113.005	-6.80026	0.586242
114.005	-6.78111	0.689963
115.005	-6.75886	0.793062
116.005	-6.73353	0.895448
117.005	-6.70514	0.997028
118.005	-6.67371	1.09771
119.005	-6.63927	1.19741
120.005	-6.60186	1.29602
121.005	-6.56151	1.39347
122.005	-6.51826	1.48967
123.005	-6.47213	1.58453
124.005	-6.42318	1.67796
125.005	-6.37145	1.76987
126.005	-6.31699	1.8602
127.005	-6.25984	1.94885
128.005	-6.20006	2.03575
129.005	-6.1377	2.12082
130.005	-6.07281	2.20398
131.005	-6.00546	2.28515
132.005	-5.9357	2.36427
133.005	-5.8636	2.44126
134.005	-5.78923	2.51605
135.005	-5.71264	2.58858
136.005	-5.63391	2.65878
137.005	-5.55311	2.72658
138.006	-5.47032	2.79193
139.006	-5.3856	2.85477
140.006	-5.29903	2.91504
141.006	-5.21069	2.97269
142.006	-5.12067	3.02766
143.006	-5.02904	3.0799
144.006	-4.93588	3.12938
145.006	-4.84127	3.17603
146.006	-4.74531	3.21983
147.006	-4.64808	3.26073
148.006	-4.54967	3.2987
149.006	-4.45016	3.3337
150.006	-4.34965	3.36569
151.006	-4.24822	3.39466
152.006	-4.14597	3.42058
153.006	-4.04298	3.44341
154.006	-3.93936	3.46314
155.006	-3.8352	3.47976
156.006	-3.73058	3.49325
157.006	-3.6256	3.50359
158.006	-3.52036	3.51078
159.006	-3.41495	3.51481
160.006	-3.30947	3.51568
161.006	-3.20401	3.51338
162.006	-3.09867	3.50792
163.007	-2.99354	3.4993
164.007	-2.88871	3.48754
165.007	-2.78429	3.47263
166.007	-2.68035	3.4546
167.007	-2.57701	3.43346
168.007	-2.47435	3.40923
169.007	-2.37246	3.38193
170.007	-2.27143	3.35159
171.007	-2.17136	3.31824
172.007	-2.07234	3.28189
173.007	-1.97445	3.24259
174.007	-1.87778	3.20038
175.007	-1.78242	3.15528
176.007	-1.68846	3.10734
177.007	-1.59598	3.05661
178.007	-1.50507	3.00312
179.007	-1.4158	2.94694
180.007	-1.32825	2.8881
181.007	-1.24251	2.82666
182.007	-1.15865	2.76268
183.007	-1.07675	2.69621
184.007	-0.996879	2.62731
185.007	-0.919111	2.55605
186.007	-0.843516	2.48249
187.007	-0.770161	2.4067
188.008	-0.699114	2.32874
189.008	-0.630437	2.24868
190.008	-0.564193	2.1666
191.008	-0.500441	2.08257
192.008	-0.439239	1.99666
193.008	-0.380641	1.90896
194.008	-0.324701	1.81954
195.008	-0.271469	1.72848
196.008	-0.220992	1.63587
197.008	-0.173317	1.54179
198.008	-0.128485	1.44631
199.008	-0.0865379	1.34954
200.008	-0.0475128	1.25155
201.008	-0.0114449	1.15243
202.008	0.0216332	1.05228
203.008	0.0516919	0.951181
204.008	0.078704	0.849225
205.008	0.102645	0.746504
206.008	0.123494	0.643112
207.008	0.141232	0.539141
208.008	0.155843	0.434685
209.008	0.167313	0.329838
210.008	0.175633	0.224694
211.008	0.180795	0.119347
212.008	0.182794	0.0138935
213.009	0.181628	-0.0915729
214.009	0.1773	-0.196957
215.009	0.169811	-0.302163
216.009	0.15917	-0.407098
217.009	0.145385	-0.511666
218.009	0.12847	-0.615774
219.009	0.108439	-0.719328
220.009	0.0853101	-0.822234
221.009	0.0591046	-0.9244
222.009	0.029846	-1.02573
223.009	-0.00243944	-1.12615
224.009	-0.0377227	-1.22554
225.009	-0.075972	-1.32384
226.009	-0.117153	-1.42094
227.009	-0.161228	-1.51677
228.009	-0.208159	-1.61122
229.009	-0.257902	-1.70423
230.009	-0.310413	-1.79571
231.009	-0.365644	-1.88557
232.009	-0.423547	-1.97373
233.009	-0.484068	-2.06012
234.009	-0.547154	-2.14465
235.009	-0.612747	-2.22725
236.009	-0.680789	-2.30785
237.009	-0.751218	-2.38637
238.01	-0.823971	-2.46274
239.01	-0.898982	-2.53689
240.01	-0.976184	-2.60877
241.01	-1.05551	-2.67829
242.01	-1.13688	-2.74541
243.01	-1.22023	-2.81005
244.01	-1.30548	-2.87216
245.01	-1.39256	-2.93169
246.01	-1.48139	-2.98858
247.01	-1.57188	-3.04278
248.01	-1.66395	-3.09425
249.01	-1.75753	-3.14292
250.01	-1.85253	-3.18877
251.01	-1.94886	-3.23175
252.01	-2.04643	-3.27182
253.01	-2.14517	-3.30895
254.01	-2.24497	-3.3431
255.01	-2.34575	-3.37424
256.01	-2.44742	-3.40234
257.01	-2.54989	-3.42738
258.01	-2.65307	-3.44933
259.01	-2.75685	-3.46819
260.01	-2.86116	-3.48391
261.01	-2.96589	-3.49651
262.01	-3.07095	-3.50596
263.011	-3.17625	-3.51225
264.011	-3.28168	-3.51538
265.011	-3.38717	-3.51535
266.011	-3.49261	-3.51215
267.011	-3.5979	-3.50579
268.011	-3.70295	-3.49628
269.011	-3.80767	-3.48362
270.011	-3.91197	-3.46783
271.011	-4.01574	-3.44891
272.011	-4.1189	-3.42689
273.011	-4.22136	-3.40179
274.011	-4.32301	-3.37362
275.011	-4.42377	-3.34242
276.011	-4.52356	-3.30821
277.011	-4.62227	-3.27102
278.011	-4.71982	-3.23089
279.011	-4.81612	-3.18785
280.011	-4.91109	-3.14194
281.011	-5.00464	-3.09321
282.011	-5.09668	-3.04169
283.011	-5.18714	-2.98743
284.011	-5.27593	-2.93048
285.011	-5.36297	-2.8709
286.011	-5.44818	-2.80873
287.011	-5.53149	-2.74404
288.012	-5.61282	-2.67687
289.012	-5.6921	-2.6073
290.012	-5.76926	-2.53538
291.012	-5.84423	-2.46118
292.012	-5.91693	-2.38476
293.012	-5.98731	-2.3062
294.012	-6.0553	-2.22556
295.012	-6.12085	-2.14291
296.012	-6.18388	-2.05834
297.012	-6.24435	-1.97192
298.012	-6.30219	-1.88372
299.012	-6.35737	-1.79383
300.012	-6.40982	-1.70232
301.012	-6.45951	-1.60928
302.012	-6.50638	-1.51479
303.012	-6.5504	-1.41894
304.012	-6.59152	-1.32181
305.012	-6.62971	-1.22349
306.012	-6.66493	-1.12407
307.012	-6.69715	-1.02364
308.012	-6.72635	-0.922291
309.012	-6.75249	-0.820108
310.012	-6.77555	-0.717188
311.012	-6.79552	-0.613621
312.012	-6.81237	-0.509503
313.013	-6.82609	-0.404926
314.013	-6.83666	-0.299985
315.013	-6.84409	-0.194774
316.013	-6.84835	-0.0893871
317.013	-6.84945	0.01608
318.013	-6.84739	0.121533
319.013	-6.84216	0.226876
320.013	-6.83377	0.332015
321.013	-6.82224	0.436855
322.013	-6.80756	0.541302
323.013	-6.78976	0.645262
324.013	-6.76885	0.748641
325.013	-6.74484	0.851346
326.013	-6.71777	0.953285
327.013	-6.68764	1.05437
328.013	-6.6545	1.1545
329.013	-6.61837	1.25359
330.013	-6.57929	1.35156
331.013	-6.53728	1.44831
332.013	-6.49239	1.54375
333.013	-6.44466	1.63781
334.013	-6.39412	1.73039
335.013	-6.34083	1.82141
336.013	-6.28484	1.9108
337.013	-6.22619	1.99846
338.014	-6.16493	2.08433
339.014	-6.10113	2.16832
340.014	-6.03483	2.25036
341.014	-5.9661	2.33037
342.014	-5.89501	2.40829
343.014	-5.82161	2.48404
344.014	-5.74597	2.55755
345.014	-5.66815	2.62876
346.014	-5.58824	2.69761
347.014	-5.5063	2.76403
348.014	-5.4224	2.82796
349.014	-5.33662	2.88934
350.014	-5.24904	2.94813
351.014	-5.15973	3.00426
352.014	-5.06878	3.05769
353.014	-4.97627	3.10836
354.014	-4.88228	3.15624
355.014	-4.7869	3.20128
356.014	-4.6902	3.24344
357.014	-4.59229	3.28267
358.014	-4.49324	3.31896
359.014	-4.39315	3.35225
360.014	-4.29211	3.38253
361.014	-4.1902	3.40977
362.014	-4.08752	3.43393
363.015	-3.98416	3.45501
364.015	-3.88022	3.47297
365.015	-3.77579	3.48781
366.015	-3.67095	3.49951
367.015	-3.56581	3.50807
368.015	-3.46047	3.51346
369.015	-3.35501	3.51569
370.015	-3.24953	3.51476
371.015	-3.14412	3.51067
372.015	-3.03889	3.50341
373.015	-2.93392	3.493
374.015	-2.82931	3.47945
375.015	-2.72515	3.46277
376.015	-2.62154	3.44297
377.015	-2.51857	3.42007
378.015	-2.41634	3.39409
379.015	-2.31493	3.36506
380.015	-2.21443	3.333
381.015	-2.11495	3.29794
382.015	-2.01656	3.25992
383.015	-1.91935	3.21895
384.015	-1.82342	3.1751
385.015	-1.72885	3.12838
386.015	-1.63572	3.07885
387.015	-1.54411	3.02655
388.016	-1.45412	2.97152
389.016	-1.36582	2.91382
390.016	-1.27929	2.8535
391.016	-1.19461	2.7906
392.016	-1.11186	2.7252
393.016	-1.0311	2.65735
394.016	-0.952417	2.5871
395.016	-0.875876	2.51452
396.016	-0.801546	2.43968
397.016	-0.729495	2.36265
398.016	-0.659787	2.28349
399.016	-0.592485	2.20227
400.016	-0.527651	2.11907
401.016	-0.465341	2.03397
402.016	-0.405612	1.94703
403.016	-0.348519	1.85835
404.016	-0.294112	1.76799
405.016	-0.24244	1.67603
406.016	-0.19355	1.58257
407.016	-0.147485	1.48769
408.016	-0.104288	1.39147
409.016	-0.0639974	1.29399
410.016	-0.0266489	1.19535
411.016	0.00772353	1.09563
412.016	0.0390891	0.994931
413.017	0.0674194	0.893334
414.017	0.0926891	0.790932
415.017	0.114875	0.687819
416.017	0.133958	0.584086
417.017	0.14992	0.479828
418.017	0.162748	0.375138
419.017	0.172429	0.27011
420.017	0.178954	0.164839
421.017	0.182319	0.0594203
422.017	0.18252	-0.0460523
423.017	0.179556	-0.151483
424.017	0.173431	-0.206778
425.017	0.167149	-0.211887
426.017	0.160717	-0.216805
427.017	0.154141	-0.221528
