Time	x	p
0	0.18663	-0.334841
1.00004	0.176501	-0.340288
2.00008	0.166213	-0.345429
3.00012	0.155775	-0.350259
4.00016	0.145197	-0.354773
5.0002	0.134489	-0.358968
6.00024	0.123659	-0.362841
7.00028	0.112718	-0.366386
8.00032	0.101676	-0.369602
9.00036	0.0905423	-0.372485
10.0004	0.079327	-0.375034
11.0004	0.0680403	-0.377244
12.0005	0.0566923	-0.379115
13.0005	0.0452934	-0.380645
14.0006	0.0338536	-0.381832
15.0006	0.0223834	-0.382676
16.0006	0.0108931	-0.383175
17.0007	-0.000607044	-0.383329
18.0007	-0.0121066	-0.383138
19.0008	-0.0235953	-0.382603
20.0008	-0.0350628	-0.381723
21.0008	-0.0464987	-0.380499
22.0009	-0.0578928	-0.378934
23.0009	-0.0692347	-0.377027
24.001	-0.0805144	-0.37478
25.001	-0.0917216	-0.372197
26.001	-0.102846	-0.369278
27.0011	-0.113878	-0.366028
28.0011	-0.124808	-0.362447
29.0012	-0.135625	-0.358541
30.0012	-0.14632	-0.354312
31.0012	-0.156884	-0.349763
32.0013	-0.167306	-0.344901
33.0013	-0.177578	-0.339727
34.0014	-0.18769	-0.334248
35.0014	-0.197633	-0.328469
36.0014	-0.207398	-0.322393
37.0015	-0.216976	-0.316027
38.0015	-0.226359	-0.309377
39.0016	-0.235539	-0.302449
40.0016	-0.244506	-0.295248
41.0016	-0.253254	-0.287782
42.0017	-0.261773	-0.280056
43.0017	-0.270057	-0.272079
44.0018	-0.278098	-0.263857
45.0018	-0.285889	-0.255397
46.0018	-0.293422	-0.246707
47.0019	-0.300691	-0.237796
48.0019	-0.30769	-0.22867
49.002	-0.314411	-0.219338
50.002	-0.32085	-0.209809
51.002	-0.327	-0.200092
52.0021	-0.332855	-0.190194
53.0021	-0.338411	-0.180125
54.0022	-0.343663	-0.169894
55.0022	-0.348605	-0.15951
56.0022	-0.353233	-0.148982
57.0023	-0.357544	-0.13832
58.0023	-0.361533	-0.127534
59.0024	-0.365196	-0.116633
60.0024	-0.368531	-0.105627
61.0024	-0.371534	-0.0945265
62.0025	-0.374202	-0.0833404
63.0025	-0.376534	-0.0720794
64.0026	-0.378527	-0.0607535
65.0026	-0.380179	-0.0493729
66.0026	-0.381489	-0.0379478
67.0027	-0.382456	-0.0264887
68.0027	-0.383079	-0.0150056
69.0028	-0.383357	-0.0035091
